"WATERSHED_","disturb_ha_2020","disturb_ha_2030","disturb_ha_2040","disturb_ha_2050","disturb_ha_2060","disturb_ha_2070","disturb_ha_2080","disturb_ha_2090","calc_area_ha","perc_disturb_2020","perc_disturb_2030","perc_disturb_2040","perc_disturb_2050","perc_disturb_2060","perc_disturb_2070","perc_disturb_2080","perc_disturb_2090"
"132",10323,884.675537109375,818.867309570312,819.234375,820.624633789062,820.624633789062,830.083740234375,830.083740234375,842.302856445312,2765.36574796615,31.9912668969748,29.6115372866163,29.6248109532175,29.6750849102912,29.6750849102912,30.0171411627876,30.0171411627876,30.4590037344899
"133",10322,1800.69702148438,1811.50329589844,1666.62719726562,1673.62719726562,1668.62719726562,1669.36828613281,1669.36828613281,1685.15515136719,4515.92508902063,39.8743775857206,40.1136701824985,36.905554552214,37.0605615521533,36.9498422664824,36.9662528324811,36.9662528324811,37.3158349208279
"134",10324,2034.6669921875,2002.6669921875,2092.5869140625,2092.5869140625,2136.73559570312,2137.73559570312,2137.73559570312,2137.73559570312,4184.44074095432,48.6245861310361,47.8598483325818,50.0087596792028,50.0087596792028,51.0638273542814,51.0877254104831,51.0877254104831,51.0877254104831
"135",10325,1211.69116210938,1175.69116210938,1236.13293457031,1279.13293457031,1137.92700195312,1246.92700195312,1264.92700195312,1275.92700195312,3652.84678554849,33.1711465945713,32.1856138823201,33.840262325284,35.0174263982508,31.1517856827456,34.1357597281731,34.6285260842987,34.9296610797089
"136",13363,0,0,0,0,0,0,0,0,0.103614578870893,0,0,0,0,0,0,0,0
"137",13364,0,0,0,0,0,0,0,0,4.89016194602974,0,0,0,0,0,0,0,0
"138",10356,766.668762207031,766.668762207031,766.668762207031,766.668762207031,766.668762207031,766.668762207031,766.668762207031,766.668762207031,4779.62749864089,16.0403454542229,16.0403454542229,16.0403454542229,16.0403454542229,16.0403454542229,16.0403454542229,16.0403454542229,16.0403454542229
"139",10357,1815.73352050781,1815.73352050781,1758.76684570312,2054.845703125,2549.58642578125,2697.03881835938,2917.03881835938,3014.84741210938,7097.06559048629,25.5842854678112,25.5842854678112,24.7816061903215,28.9534551558823,35.9245154673363,38.0021684169693,41.1020411347149,42.4801965498363
"140",10358,539.421813964844,539.421813964844,513.987854003906,600.444519042969,607.009887695312,663.843505859375,663.84423828125,669.84423828125,3832.29242425725,14.0756955432333,14.0756955432333,13.412020720301,15.6680245808576,15.839341587117,17.3223604142901,17.3223795261373,17.4789437789595
"141",10360,1109.58288574219,1074.63659667969,1077.33227539062,1150.74194335938,1410.13708496094,1443.69067382812,1443.69067382812,1452.16625976562,2246.15783607071,49.3991503145311,47.8433251404804,47.9633380205927,51.2315708575677,62.779964182203,64.2737856905741,64.2737856905741,64.6511227503921
"142",10359,1017.54803466797,1017.54803466797,1223.05151367188,2179.92236328125,2871.02734375,2940.25561523438,2996.25561523438,2996.25561523438,4325.64208721834,23.5236298831722,23.5236298831722,28.2744501050103,50.3953475421051,66.372281521707,67.9726976007195,69.2673030921325,69.2673030921325
"143",10361,1525.82629394531,1525.82629394531,1416.80236816406,1412.40954589844,1518.80236816406,1519.80236816406,1519.80236816406,1519.80236816406,2467.08118473466,61.8474293990215,61.8474293990215,57.4282831440929,57.2502256771231,61.5627234953523,61.6032572242862,61.6032572242862,61.6032572242862
"144",10362,1410.81860351562,1410.81860351562,1254.84777832031,1257.44665527344,1395.99890136719,1425.99890136719,1425.99890136719,1437.26647949219,7530.54598942029,18.7346124105436,18.7346124105436,16.6634368886832,16.6979480244863,18.5378178863582,18.9361953750841,18.9361953750841,19.0858203576661
"145",10363,2735.13256835938,2735.13256835938,2679.69482421875,2670.11645507812,2636.64697265625,2636.64697265625,2642.71752929688,2642.71752929688,4306.20505674668,63.5160781318147,63.5160781318147,62.2286860218228,62.0062542282969,61.2290157554231,61.2290157554231,61.3699880630728,61.3699880630728
